store_number,merchant_id,new_id,store_name,marketplace_id
302,amzn1.merchant.d.RS4CIVQ6GUNCOGMBKRPYCMZHWU,AHX1VDQB3N63T,Morrisons - Acton,AM7DNVYQULIQ5
179,amzn1.merchant.d.H2F77QCIJPDU6IYTICWEOZGMYI,AOYLFETG4IX6O,Morrisons - Anniesland,AM7DNVYQULIQ5
96,amzn1.merchant.d.LROY7SLPMWIC6XBFNEEM42TGVI,A1NQNEGG6XV251,Morrisons - Baglan Moor,AM7DNVYQULIQ5
106,amzn1.merchant.d.ADEVKJCZIITWEGX777VM5K7S7C7A,A1RGC6DRK6OULD,Morrisons - Banbury,AM7DNVYQULIQ5
345,amzn1.merchant.d.ADANZSWRXBJBZFVVUGKGT35RVVPQ,A2UQHZ31K1WTH2,Morrisons - Basingstoke,AM7DNVYQULIQ5
296,amzn1.merchant.d.YX6SNKK6V5IZE2GV22CY3GK6PE,A9CJS16UYIOLE,Morrisons - Becontree Heath,AM7DNVYQULIQ5
628,amzn1.merchant.d.DICI5ABDNGFBEQNXKQVBO5VIJI,A2X2G8BDV9WDON,Morrisons - Bedford,AM7DNVYQULIQ5
97,amzn1.merchant.d.SIXAPT6HJ6S3BEZ3AWRARGUCNY,A1KDGRVT6JAV6B,Morrisons - Belle Vale,AM7DNVYQULIQ5
69,amzn1.merchant.d.2RC2IMLOO4AI5IB2GEVY2QHSTY,ABG91T7M16OKW,Morrisons - Binley,AM7DNVYQULIQ5
40,amzn1.merchant.d.AAML7PPEI6MEJQR66MGFOQJUGTJQ,A2AYE33H5ZUKV8,Morrisons - Bishop Auckland,AM7DNVYQULIQ5
108,amzn1.merchant.d.ADYEE4IAXYQ33LKAYBKBQYKGU6WA,A3CNOWTIYCBQH3,Morrisons - Boroughbridge,AM7DNVYQULIQ5
84,amzn1.merchant.d.SMQEFWMWQSU4Z6RFJHN67V2B7Q,A2QRDVP6PCTD7P,Morrisons - Bristol,AM7DNVYQULIQ5
242,amzn1.merchant.d.ZSIBEU7KNF3SOIK4BHIIS66HQI,A1COPCO7G1F6BL,Morrisons - Bromsgrove,AM7DNVYQULIQ5
121,amzn1.merchant.d.TJ4PAMH35J2QJM4C6ZO7NWGQ6M,A2CPP0POW02ZM5,Morrisons - Bulwell,AM7DNVYQULIQ5
91,amzn1.merchant.d.DZ4SLE6OG5P26GWQOKARDSH3DA,A1J0O97I45QZDX,Morrisons - Byker,AM7DNVYQULIQ5
118,amzn1.merchant.d.KOPSQ4M7OTL5DU3ZTGIJBTBVR4,AE9RZ060RRTW9,Morrisons - Cambourne,AM7DNVYQULIQ5
191,amzn1.merchant.d.ADYIVIOE2VAWUBLUXJSP24TCXN7Q,A3J8FK225KBWG7,Morrisons - Canning Town,AM7DNVYQULIQ5
293,amzn1.merchant.d.ACWYSEMFU5ROY23EM6RYGYNIHYBQ,A2RM8APFZW2LBX,Morrisons - Canterbury,AM7DNVYQULIQ5
276,amzn1.merchant.d.JTI5MGPS5UCLNFFVKR2RLKVNWE,A530EFFU0O4RY,Morrisons - Canvey Island,AM7DNVYQULIQ5
269,amzn1.merchant.d.VKIJRZIELRVGLVX5T5AJKNBPTI,A3W2L835GZRAX2,Morrisons - Cardiff,AM7DNVYQULIQ5
136,amzn1.merchant.d.GY2CULAKYRRYXZKBFUAORHMLXU,ABSIINJY6WMFP,Morrisons - Cardonald,AM7DNVYQULIQ5
1,amzn1.merchant.d.7QEHOZIIB7UB7GDJQZZGAHS5SI,A2JY937J4M2YC9,Morrisons - Chingford,AM7DNVYQULIQ5
348,amzn1.merchant.d.ADC5GLYYLRB7BD4ZVHGTRCIWJWRA,AZYN661EVIS2G,Morrisons - Chippenham,AM7DNVYQULIQ5
75,amzn1.merchant.d.AAG6RKDZEQUVESNOF5AI2UOEE5EA,A34GBGVXEALJWF,Morrisons - Cleethorpes,AM7DNVYQULIQ5
54,amzn1.merchant.d.AAADLFYR4W67BJPOCTSGVGAKQJDA,A2G3ABJT9DRB6H,Morrisons - Coalville,AM7DNVYQULIQ5
440,amzn1.merchant.d.GR4HB7EKCFFSI4LRZEF5TNNY7A,A15JAWWZXFLQSZ,Morrisons - Connahs Quay,AM7DNVYQULIQ5
232,amzn1.merchant.d.AA2KXLZZ6E4GVGIDXVTRAICPS5NA,A1RICV2OYK6UMV,Morrisons - Corby,AM7DNVYQULIQ5
576,amzn1.merchant.d.JYWRCBXUHHNBJQBZRIKP5JUNJA,A2R9PD5POGFRYZ,Morrisons - Croydon,AM7DNVYQULIQ5
